object,condition,protocol,n_registered,anchors,test_indices_zero_based,buffer_indices_zero_based,n_train,n_test,n_buffer,test_names,buffer_names
cloth_hat,IN,blocked_v1,94,0.2;0.5;0.8,17;18;19;20;45;46;47;48;74;75,15;16;21;22;43;44;49;50;72;73;76;77,72,10,12,frame_0019.jpg;frame_0020.jpg;frame_0021.jpg;frame_0022.jpg;frame_0047.jpg;frame_0048.jpg;frame_0049.jpg;frame_0051.jpg;frame_0077.jpg;frame_0078.jpg,frame_0016.jpg;frame_0018.jpg;frame_0023.jpg;frame_0024.jpg;frame_0045.jpg;frame_0046.jpg;frame_0052.jpg;frame_0053.jpg;frame_0075.jpg;frame_0076.jpg;frame_0079.jpg;frame_0080.jpg
cloth_hat,IN,blocked_v2,94,0.12;0.42;0.72,9;10;11;12;37;38;39;40;67;68,7;8;13;14;35;36;41;42;65;66;69;70,72,10,12,frame_0010.jpg;frame_0011.jpg;frame_0012.jpg;frame_0013.jpg;frame_0039.jpg;frame_0040.jpg;frame_0041.jpg;frame_0042.jpg;frame_0070.jpg;frame_0071.jpg,frame_0008.jpg;frame_0009.jpg;frame_0014.jpg;frame_0015.jpg;frame_0037.jpg;frame_0038.jpg;frame_0043.jpg;frame_0044.jpg;frame_0068.jpg;frame_0069.jpg;frame_0072.jpg;frame_0073.jpg
cloth_hat,IN,blocked_v3,94,0.28;0.58;0.88,24;25;26;27;53;54;55;56;82;83,22;23;28;29;51;52;57;58;80;81;84;85,72,10,12,frame_0026.jpg;frame_0027.jpg;frame_0028.jpg;frame_0029.jpg;frame_0056.jpg;frame_0057.jpg;frame_0058.jpg;frame_0059.jpg;frame_0086.jpg;frame_0087.jpg,frame_0024.jpg;frame_0025.jpg;frame_0030.jpg;frame_0031.jpg;frame_0054.jpg;frame_0055.jpg;frame_0060.jpg;frame_0061.jpg;frame_0084.jpg;frame_0085.jpg;frame_0088.jpg;frame_0089.jpg
cloth_hat,OUT,blocked_v1,94,0.2;0.5;0.8,17;18;19;20;45;46;47;48;74;75,15;16;21;22;43;44;49;50;72;73;76;77,72,10,12,frame_0018.jpg;frame_0019.jpg;frame_0020.jpg;frame_0021.jpg;frame_0046.jpg;frame_0047.jpg;frame_0048.jpg;frame_0049.jpg;frame_0075.jpg;frame_0076.jpg,frame_0016.jpg;frame_0017.jpg;frame_0022.jpg;frame_0023.jpg;frame_0044.jpg;frame_0045.jpg;frame_0050.jpg;frame_0051.jpg;frame_0073.jpg;frame_0074.jpg;frame_0077.jpg;frame_0078.jpg
cloth_hat,OUT,blocked_v2,94,0.12;0.42;0.72,9;10;11;12;37;38;39;40;67;68,7;8;13;14;35;36;41;42;65;66;69;70,72,10,12,frame_0010.jpg;frame_0011.jpg;frame_0012.jpg;frame_0013.jpg;frame_0038.jpg;frame_0039.jpg;frame_0040.jpg;frame_0041.jpg;frame_0068.jpg;frame_0069.jpg,frame_0008.jpg;frame_0009.jpg;frame_0014.jpg;frame_0015.jpg;frame_0036.jpg;frame_0037.jpg;frame_0042.jpg;frame_0043.jpg;frame_0066.jpg;frame_0067.jpg;frame_0070.jpg;frame_0071.jpg
cloth_hat,OUT,blocked_v3,94,0.28;0.58;0.88,24;25;26;27;53;54;55;56;82;83,22;23;28;29;51;52;57;58;80;81;84;85,72,10,12,frame_0025.jpg;frame_0026.jpg;frame_0027.jpg;frame_0028.jpg;frame_0054.jpg;frame_0055.jpg;frame_0056.jpg;frame_0057.jpg;frame_0083.jpg;frame_0084.jpg,frame_0023.jpg;frame_0024.jpg;frame_0029.jpg;frame_0030.jpg;frame_0052.jpg;frame_0053.jpg;frame_0058.jpg;frame_0059.jpg;frame_0081.jpg;frame_0082.jpg;frame_0085.jpg;frame_0086.jpg
cloth_shoe,IN,blocked_v1,93,0.2;0.5;0.8,17;18;19;20;44;45;46;47;73;74,15;16;21;22;42;43;48;49;71;72;75;76,71,10,12,frame_0018.jpg;frame_0019.jpg;frame_0020.jpg;frame_0021.jpg;frame_0045.jpg;frame_0046.jpg;frame_0047.jpg;frame_0048.jpg;frame_0074.jpg;frame_0075.jpg,frame_0016.jpg;frame_0017.jpg;frame_0022.jpg;frame_0023.jpg;frame_0043.jpg;frame_0044.jpg;frame_0049.jpg;frame_0050.jpg;frame_0072.jpg;frame_0073.jpg;frame_0076.jpg;frame_0077.jpg
cloth_shoe,IN,blocked_v2,93,0.12;0.42;0.72,9;10;11;12;37;38;39;40;66;67,7;8;13;14;35;36;41;42;64;65;68;69,71,10,12,frame_0010.jpg;frame_0011.jpg;frame_0012.jpg;frame_0013.jpg;frame_0038.jpg;frame_0039.jpg;frame_0040.jpg;frame_0041.jpg;frame_0067.jpg;frame_0068.jpg,frame_0008.jpg;frame_0009.jpg;frame_0014.jpg;frame_0015.jpg;frame_0036.jpg;frame_0037.jpg;frame_0042.jpg;frame_0043.jpg;frame_0065.jpg;frame_0066.jpg;frame_0069.jpg;frame_0070.jpg
cloth_shoe,IN,blocked_v3,93,0.28;0.58;0.88,24;25;26;27;52;53;54;55;81;82,22;23;28;29;50;51;56;57;79;80;83;84,71,10,12,frame_0025.jpg;frame_0026.jpg;frame_0027.jpg;frame_0028.jpg;frame_0053.jpg;frame_0054.jpg;frame_0055.jpg;frame_0056.jpg;frame_0082.jpg;frame_0083.jpg,frame_0023.jpg;frame_0024.jpg;frame_0029.jpg;frame_0030.jpg;frame_0051.jpg;frame_0052.jpg;frame_0057.jpg;frame_0058.jpg;frame_0080.jpg;frame_0081.jpg;frame_0085.jpg;frame_0086.jpg
cloth_shoe,OUT,blocked_v1,93,0.2;0.5;0.8,17;18;19;20;44;45;46;47;73;74,15;16;21;22;42;43;48;49;71;72;75;76,71,10,12,frame_0018.jpg;frame_0019.jpg;frame_0020.jpg;frame_0021.jpg;frame_0046.jpg;frame_0047.jpg;frame_0048.jpg;frame_0049.jpg;frame_0076.jpg;frame_0077.jpg,frame_0016.jpg;frame_0017.jpg;frame_0022.jpg;frame_0023.jpg;frame_0044.jpg;frame_0045.jpg;frame_0050.jpg;frame_0051.jpg;frame_0074.jpg;frame_0075.jpg;frame_0078.jpg;frame_0079.jpg
cloth_shoe,OUT,blocked_v2,93,0.12;0.42;0.72,9;10;11;12;37;38;39;40;66;67,7;8;13;14;35;36;41;42;64;65;68;69,71,10,12,frame_0010.jpg;frame_0011.jpg;frame_0012.jpg;frame_0013.jpg;frame_0039.jpg;frame_0040.jpg;frame_0041.jpg;frame_0042.jpg;frame_0068.jpg;frame_0069.jpg,frame_0008.jpg;frame_0009.jpg;frame_0014.jpg;frame_0015.jpg;frame_0037.jpg;frame_0038.jpg;frame_0043.jpg;frame_0044.jpg;frame_0066.jpg;frame_0067.jpg;frame_0070.jpg;frame_0071.jpg
cloth_shoe,OUT,blocked_v3,93,0.28;0.58;0.88,24;25;26;27;52;53;54;55;81;82,22;23;28;29;50;51;56;57;79;80;83;84,71,10,12,frame_0026.jpg;frame_0027.jpg;frame_0028.jpg;frame_0029.jpg;frame_0054.jpg;frame_0055.jpg;frame_0056.jpg;frame_0057.jpg;frame_0084.jpg;frame_0085.jpg,frame_0023.jpg;frame_0024.jpg;frame_0030.jpg;frame_0031.jpg;frame_0052.jpg;frame_0053.jpg;frame_0058.jpg;frame_0059.jpg;frame_0082.jpg;frame_0083.jpg;frame_0086.jpg;frame_0087.jpg
porcelain_plate,IN,blocked_v1,89,0.2;0.5;0.8,16;17;18;19;42;43;44;45;70;71,14;15;20;21;40;41;46;47;68;69;72;73,67,10,12,frame_0017.jpg;frame_0018.jpg;frame_0019.jpg;frame_0020.jpg;frame_0044.jpg;frame_0045.jpg;frame_0046.jpg;frame_0047.jpg;frame_0075.jpg;frame_0076.jpg,frame_0015.jpg;frame_0016.jpg;frame_0021.jpg;frame_0022.jpg;frame_0042.jpg;frame_0043.jpg;frame_0048.jpg;frame_0049.jpg;frame_0073.jpg;frame_0074.jpg;frame_0077.jpg;frame_0078.jpg
porcelain_plate,IN,blocked_v2,89,0.12;0.42;0.72,9;10;11;12;35;36;37;38;63;64,7;8;13;14;33;34;39;40;61;62;65;66,67,10,12,frame_0010.jpg;frame_0011.jpg;frame_0012.jpg;frame_0013.jpg;frame_0037.jpg;frame_0038.jpg;frame_0039.jpg;frame_0040.jpg;frame_0067.jpg;frame_0068.jpg,frame_0008.jpg;frame_0009.jpg;frame_0014.jpg;frame_0015.jpg;frame_0035.jpg;frame_0036.jpg;frame_0041.jpg;frame_0042.jpg;frame_0065.jpg;frame_0066.jpg;frame_0070.jpg;frame_0071.jpg
porcelain_plate,IN,blocked_v3,89,0.28;0.58;0.88,23;24;25;26;50;51;52;53;77;78,21;22;27;28;48;49;54;55;75;76;79;80,67,10,12,frame_0024.jpg;frame_0025.jpg;frame_0026.jpg;frame_0027.jpg;frame_0052.jpg;frame_0053.jpg;frame_0054.jpg;frame_0057.jpg;frame_0082.jpg;frame_0083.jpg,frame_0022.jpg;frame_0023.jpg;frame_0028.jpg;frame_0029.jpg;frame_0050.jpg;frame_0051.jpg;frame_0058.jpg;frame_0059.jpg;frame_0080.jpg;frame_0081.jpg;frame_0084.jpg;frame_0085.jpg
porcelain_plate,OUT,blocked_v1,89,0.2;0.5;0.8,16;17;18;19;42;43;44;45;70;71,14;15;20;21;40;41;46;47;68;69;72;73,67,10,12,frame_0017.jpg;frame_0018.jpg;frame_0019.jpg;frame_0020.jpg;frame_0044.jpg;frame_0045.jpg;frame_0046.jpg;frame_0047.jpg;frame_0073.jpg;frame_0074.jpg,frame_0015.jpg;frame_0016.jpg;frame_0021.jpg;frame_0022.jpg;frame_0042.jpg;frame_0043.jpg;frame_0048.jpg;frame_0049.jpg;frame_0071.jpg;frame_0072.jpg;frame_0075.jpg;frame_0076.jpg
porcelain_plate,OUT,blocked_v2,89,0.12;0.42;0.72,9;10;11;12;35;36;37;38;63;64,7;8;13;14;33;34;39;40;61;62;65;66,67,10,12,frame_0010.jpg;frame_0011.jpg;frame_0012.jpg;frame_0013.jpg;frame_0037.jpg;frame_0038.jpg;frame_0039.jpg;frame_0040.jpg;frame_0065.jpg;frame_0066.jpg,frame_0008.jpg;frame_0009.jpg;frame_0014.jpg;frame_0015.jpg;frame_0035.jpg;frame_0036.jpg;frame_0041.jpg;frame_0042.jpg;frame_0063.jpg;frame_0064.jpg;frame_0067.jpg;frame_0068.jpg
porcelain_plate,OUT,blocked_v3,89,0.28;0.58;0.88,23;24;25;26;50;51;52;53;77;78,21;22;27;28;48;49;54;55;75;76;79;80,67,10,12,frame_0025.jpg;frame_0026.jpg;frame_0027.jpg;frame_0028.jpg;frame_0052.jpg;frame_0053.jpg;frame_0054.jpg;frame_0055.jpg;frame_0080.jpg;frame_0081.jpg,frame_0022.jpg;frame_0023.jpg;frame_0029.jpg;frame_0030.jpg;frame_0050.jpg;frame_0051.jpg;frame_0056.jpg;frame_0057.jpg;frame_0078.jpg;frame_0079.jpg;frame_0082.jpg;frame_0083.jpg
silver_comb,IN,blocked_v1,80,0.2;0.5;0.8,14;15;16;17;38;39;40;41;63;64,12;13;18;19;36;37;42;43;61;62;65;66,58,10,12,frame_0024.jpg;frame_0025.jpg;frame_0026.jpg;frame_0027.jpg;frame_0048.jpg;frame_0049.jpg;frame_0050.jpg;frame_0051.jpg;frame_0074.jpg;frame_0075.jpg,frame_0022.jpg;frame_0023.jpg;frame_0028.jpg;frame_0029.jpg;frame_0046.jpg;frame_0047.jpg;frame_0052.jpg;frame_0053.jpg;frame_0072.jpg;frame_0073.jpg;frame_0076.jpg;frame_0077.jpg
silver_comb,IN,blocked_v2,80,0.12;0.42;0.72,8;9;10;11;32;33;34;35;57;58,6;7;12;13;30;31;36;37;55;56;59;60,58,10,12,frame_0018.jpg;frame_0019.jpg;frame_0020.jpg;frame_0021.jpg;frame_0042.jpg;frame_0043.jpg;frame_0044.jpg;frame_0045.jpg;frame_0068.jpg;frame_0069.jpg,frame_0016.jpg;frame_0017.jpg;frame_0022.jpg;frame_0023.jpg;frame_0040.jpg;frame_0041.jpg;frame_0046.jpg;frame_0047.jpg;frame_0066.jpg;frame_0067.jpg;frame_0070.jpg;frame_0071.jpg
silver_comb,IN,blocked_v3,80,0.28;0.58;0.88,20;21;22;23;44;45;46;47;69;70,18;19;24;25;42;43;48;49;67;68;71;72,58,10,12,frame_0030.jpg;frame_0031.jpg;frame_0032.jpg;frame_0033.jpg;frame_0055.jpg;frame_0056.jpg;frame_0057.jpg;frame_0058.jpg;frame_0080.jpg;frame_0082.jpg,frame_0028.jpg;frame_0029.jpg;frame_0034.jpg;frame_0035.jpg;frame_0052.jpg;frame_0053.jpg;frame_0059.jpg;frame_0060.jpg;frame_0078.jpg;frame_0079.jpg;frame_0083.jpg;frame_0084.jpg
silver_comb,OUT,blocked_v1,80,0.2;0.5;0.8,14;15;16;17;38;39;40;41;63;64,12;13;18;19;36;37;42;43;61;62;65;66,58,10,12,frame_0017.jpg;frame_0018.jpg;frame_0020.jpg;frame_0021.jpg;frame_0045.jpg;frame_0046.jpg;frame_0047.jpg;frame_0049.jpg;frame_0074.jpg;frame_0075.jpg,frame_0015.jpg;frame_0016.jpg;frame_0022.jpg;frame_0023.jpg;frame_0043.jpg;frame_0044.jpg;frame_0050.jpg;frame_0051.jpg;frame_0072.jpg;frame_0073.jpg;frame_0077.jpg;frame_0078.jpg
silver_comb,OUT,blocked_v2,80,0.12;0.42;0.72,8;9;10;11;32;33;34;35;57;58,6;7;12;13;30;31;36;37;55;56;59;60,58,10,12,frame_0010.jpg;frame_0011.jpg;frame_0013.jpg;frame_0014.jpg;frame_0038.jpg;frame_0039.jpg;frame_0041.jpg;frame_0042.jpg;frame_0067.jpg;frame_0068.jpg,frame_0008.jpg;frame_0009.jpg;frame_0015.jpg;frame_0016.jpg;frame_0036.jpg;frame_0037.jpg;frame_0043.jpg;frame_0044.jpg;frame_0065.jpg;frame_0066.jpg;frame_0070.jpg;frame_0071.jpg
silver_comb,OUT,blocked_v3,80,0.28;0.58;0.88,20;21;22;23;44;45;46;47;69;70,18;19;24;25;42;43;48;49;67;68;71;72,58,10,12,frame_0024.jpg;frame_0025.jpg;frame_0027.jpg;frame_0028.jpg;frame_0052.jpg;frame_0053.jpg;frame_0054.jpg;frame_0056.jpg;frame_0081.jpg;frame_0082.jpg,frame_0022.jpg;frame_0023.jpg;frame_0029.jpg;frame_0030.jpg;frame_0050.jpg;frame_0051.jpg;frame_0057.jpg;frame_0058.jpg;frame_0079.jpg;frame_0080.jpg;frame_0084.jpg;frame_0085.jpg
stone_horse,IN,blocked_v1,54,0.2;0.5;0.8,9;10;11;12;25;26;27;28;42;43,7;8;13;14;23;24;29;30;40;41;44;45,32,10,12,frame_0010.jpg;frame_0011.jpg;frame_0012.jpg;frame_0013.jpg;frame_0068.jpg;frame_0069.jpg;frame_0070.jpg;frame_0071.jpg;frame_0085.jpg;frame_0086.jpg,frame_0008.jpg;frame_0009.jpg;frame_0014.jpg;frame_0015.jpg;frame_0066.jpg;frame_0067.jpg;frame_0072.jpg;frame_0073.jpg;frame_0083.jpg;frame_0084.jpg;frame_0087.jpg;frame_0088.jpg
stone_horse,IN,blocked_v2,54,0.12;0.42;0.72,4;5;6;7;21;22;23;24;38;39,2;3;8;9;19;20;25;26;36;37;40;41,32,10,12,frame_0005.jpg;frame_0006.jpg;frame_0007.jpg;frame_0008.jpg;frame_0064.jpg;frame_0065.jpg;frame_0066.jpg;frame_0067.jpg;frame_0081.jpg;frame_0082.jpg,frame_0003.jpg;frame_0004.jpg;frame_0009.jpg;frame_0010.jpg;frame_0062.jpg;frame_0063.jpg;frame_0068.jpg;frame_0069.jpg;frame_0079.jpg;frame_0080.jpg;frame_0083.jpg;frame_0084.jpg
stone_horse,IN,blocked_v3,54,0.28;0.58;0.88,13;14;15;16;29;30;31;32;47;48,11;12;17;18;27;28;33;34;45;46;49;50,32,10,12,frame_0014.jpg;frame_0015.jpg;frame_0016.jpg;frame_0017.jpg;frame_0072.jpg;frame_0073.jpg;frame_0074.jpg;frame_0075.jpg;frame_0090.jpg;frame_0091.jpg,frame_0012.jpg;frame_0013.jpg;frame_0018.jpg;frame_0019.jpg;frame_0070.jpg;frame_0071.jpg;frame_0076.jpg;frame_0077.jpg;frame_0088.jpg;frame_0089.jpg;frame_0092.jpg;frame_0093.jpg
stone_horse,OUT,blocked_v1,54,0.2;0.5;0.8,9;10;11;12;25;26;27;28;42;43,7;8;13;14;23;24;29;30;40;41;44;45,32,10,12,frame_0017.jpg;frame_0019.jpg;frame_0021.jpg;frame_0022.jpg;frame_0045.jpg;frame_0047.jpg;frame_0049.jpg;frame_0051.jpg;frame_0076.jpg;frame_0077.jpg,frame_0013.jpg;frame_0015.jpg;frame_0024.jpg;frame_0026.jpg;frame_0042.jpg;frame_0044.jpg;frame_0053.jpg;frame_0054.jpg;frame_0072.jpg;frame_0074.jpg;frame_0079.jpg;frame_0081.jpg
stone_horse,OUT,blocked_v2,54,0.12;0.42;0.72,4;5;6;7;21;22;23;24;38;39,2;3;8;9;19;20;25;26;36;37;40;41,32,10,12,frame_0008.jpg;frame_0010.jpg;frame_0012.jpg;frame_0013.jpg;frame_0038.jpg;frame_0040.jpg;frame_0042.jpg;frame_0044.jpg;frame_0069.jpg;frame_0070.jpg,frame_0005.jpg;frame_0006.jpg;frame_0015.jpg;frame_0017.jpg;frame_0035.jpg;frame_0037.jpg;frame_0045.jpg;frame_0047.jpg;frame_0065.jpg;frame_0067.jpg;frame_0072.jpg;frame_0074.jpg
stone_horse,OUT,blocked_v3,54,0.28;0.58;0.88,13;14;15;16;29;30;31;32;47;48,11;12;17;18;27;28;33;34;45;46;49;50,32,10,12,frame_0024.jpg;frame_0026.jpg;frame_0028.jpg;frame_0029.jpg;frame_0053.jpg;frame_0054.jpg;frame_0056.jpg;frame_0058.jpg;frame_0085.jpg;frame_0086.jpg,frame_0021.jpg;frame_0022.jpg;frame_0031.jpg;frame_0033.jpg;frame_0049.jpg;frame_0051.jpg;frame_0060.jpg;frame_0061.jpg;frame_0081.jpg;frame_0083.jpg;frame_0088.jpg;frame_0090.jpg
